Number of variables: 283
Idx  | Channel Name             | Units            | Description
------------------------------------------------------------------------------------------------------------------------
000  | SessionTime              | s                | Seconds since session start
001  | SessionTick              |                  | Current update number
002  | SessionNum               |                  | Session number
003  | SessionState             | irsdk_SessionState | Session state
004  | SessionUniqueID          |                  | Session ID
005  | SessionFlags             | irsdk_Flags      | Session flags
006  | SessionTimeRemain        | s                | Seconds left till session ends
007  | SessionLapsRemain        |                  | Old laps left till session ends use SessionLapsRemainEx
008  | SessionLapsRemainEx      |                  | New improved laps left till session ends
009  | SessionTimeTotal         | s                | Total number of seconds in session
010  | SessionLapsTotal         |                  | Total number of laps in session
011  | SessionJokerLapsRemain   |                  | Joker laps remaining to be taken
012  | SessionOnJokerLap        |                  | Player is currently completing a joker lap
013  | SessionTimeOfDay         | s                | Time of day in seconds
014  | DriverMarker             |                  | Driver activated flag
015  | PushToTalk               |                  | Push to talk button state
016  | PushToPass               |                  | Push to pass button state
017  | ManualBoost              |                  | Hybrid manual boost state
018  | ManualNoBoost            |                  | Hybrid manual no boost state
019  | IsOnTrack                |                  | 1=Car on track physics running with player in car
020  | FrameRate                | fps              | Average frames per second
021  | CpuUsageFG               | %                | Percent of available time fg thread took with a 1 sec avg
022  | GpuUsage                 | %                | Percent of available time gpu took with a 1 sec avg
023  | ChanAvgLatency           | s                | Communications average latency
024  | ChanLatency              | s                | Communications latency
025  | ChanQuality              | %                | Communications quality
026  | ChanPartnerQuality       | %                | Partner communications quality
027  | CpuUsageBG               | %                | Percent of available time bg thread took with a 1 sec avg
028  | ChanClockSkew            | s                | Communications server clock skew
029  | MemPageFaultSec          |                  | Memory page faults per second
030  | MemSoftPageFaultSec      |                  | Memory soft page faults per second
031  | PlayerCarPosition        |                  | Players position in race
032  | PlayerCarClassPosition   |                  | Players class position in race
033  | PlayerCarClass           |                  | Player car class id
034  | PlayerTrackSurface       | irsdk_TrkLoc     | Players car track surface type
035  | PlayerTrackSurfaceMaterial | irsdk_TrkSurf    | Players car track surface material type
036  | PlayerCarIdx             |                  | Players carIdx
037  | PlayerCarTeamIncidentCount |                  | Players team incident count for this session
038  | PlayerCarMyIncidentCount |                  | Players own incident count for this session
039  | PlayerCarDriverIncidentCount |                  | Teams current drivers incident count for this session
040  | PlayerCarWeightPenalty   | kg               | Players weight penalty
041  | PlayerCarPowerAdjust     | %                | Players power adjust
042  | PlayerCarDryTireSetLimit |                  | Players dry tire set limit
043  | PlayerCarTowTime         | s                | Players car is being towed if time is greater than zero
044  | PlayerCarInPitStall      |                  | Players car is properly in their pitstall
045  | PlayerCarPitSvStatus     | irsdk_PitSvStatus | Players car pit service status bits
046  | PlayerTireCompound       |                  | Players car current tire compound
047  | PlayerFastRepairsUsed    |                  | Players car number of fast repairs used
048  | PaceMode                 | irsdk_PaceMode   | Are we pacing or not
049  | OnPitRoad                |                  | Is the player car on pit road between the cones
050  | SteeringWheelAngle       | rad              | Steering wheel angle
051  | Throttle                 | %                | 0=off throttle to 1=full throttle
052  | Brake                    | %                | 0=brake released to 1=max pedal force
053  | Clutch                   | %                | 0=disengaged to 1=fully engaged
054  | Gear                     |                  | -1=reverse  0=neutral  1..n=current gear
055  | RPM                      | revs/min         | Engine rpm
056  | Lap                      |                  | Laps started count
057  | LapCompleted             |                  | Laps completed count
058  | LapDist                  | m                | Meters traveled from S/F this lap
059  | LapDistPct               | %                | Percentage distance around lap
060  | CarDistAhead             | m                | Distance to first car in front of player in meters
061  | CarDistBehind            | m                | Distance to first car behind player in meters
062  | LapBestLap               |                  | Players best lap number
063  | LapBestLapTime           | s                | Players best lap time
064  | LapLastLapTime           | s                | Players last lap time
065  | LapCurrentLapTime        | s                | Estimate of players current lap time as shown in F3 box
066  | LapLasNLapSeq            |                  | Player num consecutive clean laps completed for N average
067  | LapLastNLapTime          | s                | Player last N average lap time
068  | LapBestNLapLap           |                  | Player last lap in best N average lap time
069  | LapBestNLapTime          | s                | Player best N average lap time
070  | LapDeltaToBestLap        | s                | Delta time for best lap
071  | LapDeltaToBestLap_DD     | s/s              | Rate of change of delta time for best lap
072  | LapDeltaToBestLap_OK     |                  | Delta time for best lap is valid
073  | LapDeltaToOptimalLap     | s                | Delta time for optimal lap
074  | LapDeltaToOptimalLap_DD  | s/s              | Rate of change of delta time for optimal lap
075  | LapDeltaToOptimalLap_OK  |                  | Delta time for optimal lap is valid
076  | LapDeltaToSessionBestLap | s                | Delta time for session best lap
077  | LapDeltaToSessionBestLap_DD | s/s              | Rate of change of delta time for session best lap
078  | LapDeltaToSessionBestLap_OK |                  | Delta time for session best lap is valid
079  | LapDeltaToSessionOptimalLap | s                | Delta time for session optimal lap
080  | LapDeltaToSessionOptimalLap_DD | s/s              | Rate of change of delta time for session optimal lap
081  | LapDeltaToSessionOptimalLap_OK |                  | Delta time for session optimal lap is valid
082  | LapDeltaToSessionLastlLap | s                | Delta time for session last lap
083  | LapDeltaToSessionLastlLap_DD | s/s              | Rate of change of delta time for session last lap
084  | LapDeltaToSessionLastlLap_OK |                  | Delta time for session last lap is valid
085  | Speed                    | m/s              | GPS vehicle speed
086  | Yaw                      | rad              | Yaw orientation
087  | YawNorth                 | rad              | Yaw orientation relative to north
088  | Pitch                    | rad              | Pitch orientation
089  | Roll                     | rad              | Roll orientation
090  | EnterExitReset           |                  | Indicate action the reset key will take 0 enter 1 exit 2 reset
091  | Lat                      | deg              | Latitude in decimal degrees
092  | Lon                      | deg              | Longitude in decimal degrees
093  | Alt                      | m                | Altitude in meters
094  | TrackTemp                | C                | Deprecated  set to TrackTempCrew
095  | TrackTempCrew            | C                | Temperature of track measured by crew around track
096  | AirTemp                  | C                | Temperature of air at start/finish line
097  | TrackWetness             | irsdk_TrackWetness | How wet is the average track surface
098  | Skies                    |                  | Skies (0=clear/1=p cloudy/2=m cloudy/3=overcast)
099  | AirDensity               | kg/m^3           | Density of air at start/finish line
100  | AirPressure              | Pa               | Pressure of air at start/finish line
101  | WindVel                  | m/s              | Wind velocity at start/finish line
102  | WindDir                  | rad              | Wind direction at start/finish line
103  | RelativeHumidity         | %                | Relative Humidity at start/finish line
104  | FogLevel                 | %                | Fog level at start/finish line
105  | Precipitation            | %                | Precipitation at start/finish line
106  | SolarAltitude            | rad              | Sun angle above horizon in radians
107  | SolarAzimuth             | rad              | Sun angle clockwise from north in radians
108  | WeatherDeclaredWet       |                  | The steward says rain tires can be used
109  | PitsOpen                 |                  | True if pit stop is allowed for the current player
110  | PlayerIncidents          | irsdk_IncidentFlags | Log incidents that the player recieved
111  | PitRepairLeft            | s                | Time left for mandatory pit repairs if repairs are active
112  | PitOptRepairLeft         | s                | Time left for optional repairs if repairs are active
113  | PitstopActive            |                  | Is the player getting pit stop service
114  | FastRepairUsed           |                  | How many fast repairs used so far
